MDS1,MDS2,MDS3
0.8153584305582378,-5.631653350181232,4.255418510896486
0.286489755585575,-5.481016161168204,1.518244687306745
1.0272097069778852,-3.3892040725696284,-4.124861195663677
2.78908083521955,-1.298618428219118,-4.750541782555966
4.731974560584088,0.20420465116766479,-4.828898771881636
6.098254114713252,2.5468524575324842,-4.631065702840094
5.544610504638549,4.742382459913898,-4.041046236935979
3.0369308221160902,6.104803502141242,-4.187569015891176
-0.04880776730562474,6.2679511074455005,-4.968708556350685
-2.0212875904307017,4.720846410377762,-5.301842906052537
-2.2238291001791626,2.8226289852406574,-5.208486232028938
-1.2401709150197235,2.161965741245873,-6.188959974325369
0.07916046470675718,3.108457635127465,-5.809445116373103
0.18385491170808085,4.072408924856983,-2.1747586002913115
-1.145390135770024,4.423529394446491,-1.9276640078004064
-3.12001159631434,5.216704946329306,-3.24579615069636
-4.379025283050588,3.792513507423236,-4.904454979633415
-3.601906041416638,0.2104915715061165,-5.404004482884586
-2.0574852986269017,-2.5177526483518755,-5.552607506539574
-0.48212861319782624,-4.265212531784502,-5.4461896403142775
0.8032841385578641,-3.7930005350994893,-2.42518132488637
0.4383023914630468,-2.0246101603967936,0.14808537384765394
-1.1047590663957505,-2.037218561617741,1.428035744014236
-3.0630434550881454,-3.8508691086517954,2.6664869593859155
-3.807719586686936,-6.22960609348756,2.4610847859123304
-3.65563641952708,-8.439343331819087,2.5284765006209087
-3.6361479061012445,-9.826621760445024,3.318734239941483
-3.9502322794855287,-9.97840507690085,4.474726691953116
-4.271116464130264,-8.935168076534715,5.1689390085025915
-3.9127815356799367,-7.637390097660988,5.0650820059061346
-2.8216144219863093,-6.93477094449865,4.550341792643953
-1.0847684841265819,-7.4442610363917066,4.40967498119733
0.7468500315812729,-7.3258111908708905,4.91100334640816
1.551761991617669,-4.25300302070394,5.520645222838513
1.4284469784965415,-0.4593619754117571,5.307905082899552
0.4268608437069881,3.501534729578945,6.032177447996245
-1.3200618383060283,7.005431125829205,6.18451276574745
-2.787355418158362,8.050979341784133,4.38997299832414
-2.817776668687948,6.46363665555584,1.9000835299231493
-1.3996429523016707,3.677958441726474,0.6679243393566191
2.444016988633873,0.3363444865519263,-0.32186320934082024
6.061468668886602,-1.8107889481126302,0.4943432586187847
8.493820573056327,0.0484057709834621,-0.4230753936538542
10.70788839704399,2.8529760527000425,-1.1036644447450865
12.11576487459616,6.09532564405526,-3.091504288503338
11.704047986806863,8.199655049830703,-4.970462073822072
9.066315698540874,8.392091601200535,-6.18748836038497
5.0050918342819495,6.887265972313557,-6.945485650363665
0.39712383167950843,4.579604403257878,-8.268046342436016
-4.3336296151697935,1.9476504492040163,-9.556462431417831
-7.75932066338982,0.16308470736053388,-9.736447564908696
-9.754245552914169,0.17279219653619765,-8.433692238023973
-11.705134281355118,2.909307571064424,-3.2959121646724396
-11.241379498861775,7.047249809406861,4.171988131516451
-8.851241963907205,10.978361518052898,9.417668702458728
-6.464615651920625,13.921320801597075,11.457412521327267
-3.086681850170029,14.320796856725321,9.774962391836803
0.933874131360399,11.197899993960693,3.8916544125593897
4.452033019824104,5.469380972828751,-2.31575074042065
8.376820221322468,0.3497926493760597,-8.476536103751597
11.264045414814802,-5.204287797412384,-9.647153508381955
10.995126648230025,-7.046638673378793,-7.37992968189999
8.67554888481154,-6.133498421279735,-4.093148097783301
5.947742039028679,-4.413398467162074,-1.6472537466208632
3.9305258252916078,-3.9555231502165853,-0.6450100277316801
2.724536167411387,-6.1493940197302095,-0.5893143485613963
0.9857524746952319,-10.418565394043203,0.03638205615143532
-1.3975822320456406,-13.257301780041743,1.1868797192039788
-3.529095562647073,-13.353230816319254,1.6744375815603667
-4.472614622993051,-11.708913520465035,1.0693696895178881
-3.6266374244326234,-9.051187511892767,-0.28197997307855255
